date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2024-12-21,Stuttgart,St Pauli,0,1,2.42,2.58
2024-12-21,Ein Frankfurt,Mainz,1,3,2.59,0.75
2024-12-21,Hoffenheim,M'gladbach,1,2,3.72,0.49
2024-12-21,Werder Bremen,Union Berlin,4,1,2.73,1.64
2024-12-21,Holstein Kiel,Augsburg,5,1,2.49,1.13
2024-12-21,Leverkusen,Freiburg,5,1,3.26,1.34
2024-12-22,Bochum,Heidenheim,2,0,1.68,0.51
2024-12-22,Wolfsburg,Dortmund,1,3,1.95,2.41
2025-01-10,Dortmund,Leverkusen,2,3,1.49,1.88
2025-01-11,Hoffenheim,Wolfsburg,0,1,1.18,1.49
2025-01-11,Heidenheim,Union Berlin,2,0,1.76,1.03
2025-01-11,Freiburg,Holstein Kiel,3,2,0.75,1.67
2025-01-11,Mainz,Bochum,2,0,1.72,0.7
2025-01-11,St Pauli,Ein Frankfurt,0,1,2.55,2.24
2025-01-11,M'gladbach,Bayern Munich,0,1,0.33,4.48
2025-01-12,RB Leipzig,Werder Bremen,4,2,2.65,1.33
2025-01-12,Augsburg,Stuttgart,0,1,0.34,2.62
2025-01-14,Holstein Kiel,Dortmund,4,2,1.96,1.16
2025-01-14,Leverkusen,Mainz,1,0,1.99,0.6
2025-01-14,Ein Frankfurt,Freiburg,4,1,2.82,0.59
2025-01-14,Wolfsburg,M'gladbach,5,1,3.73,0.86
2025-01-15,Bochum,St Pauli,1,0,1.82,1.15
2025-01-15,Stuttgart,RB Leipzig,2,1,2.43,0.71
2025-01-15,Bayern Munich,Hoffenheim,5,0,3.8,0.22
2025-01-15,Werder Bremen,Heidenheim,3,3,1.87,1.92
2025-01-15,Union Berlin,Augsburg,0,2,0.55,1.42
2025-01-17,Ein Frankfurt,Dortmund,2,0,2.05,0.58
2025-01-18,Stuttgart,Freiburg,4,0,2.27,0.19
2025-01-18,Bayern Munich,Wolfsburg,3,2,3.23,0.7
2025-01-18,Heidenheim,St Pauli,0,2,0.92,2.23
2025-01-18,Bochum,RB Leipzig,3,3,2.76,2.39
2025-01-18,Holstein Kiel,Hoffenheim,1,3,0.91,0.91
2025-01-18,Leverkusen,M'gladbach,3,1,2.08,0.47
2025-01-19,Union Berlin,Mainz,2,1,2.45,1.4
2025-01-19,Werder Bremen,Augsburg,0,2,1.15,1.32
2025-01-24,Wolfsburg,Holstein Kiel,2,2,2.52,0.27
2025-01-25,RB Leipzig,Leverkusen,2,2,0.71,2.58
2025-01-25,Dortmund,Werder Bremen,2,2,1.49,1.12
2025-01-25,Mainz,Stuttgart,2,0,2.23,0.92
2025-01-25,Augsburg,Heidenheim,2,1,1.64,0.95
2025-01-25,Freiburg,Bayern Munich,1,2,0.27,0.79
2025-01-25,M'gladbach,Bochum,3,0,2.93,0.76
2025-01-26,Hoffenheim,Ein Frankfurt,2,2,2.32,2.3
2025-01-26,St Pauli,Union Berlin,3,0,1.4,0.99
2025-01-31,Werder Bremen,Mainz,1,0,2.59,1.02
2025-02-01,Bochum,Freiburg,0,1,0.84,3.33
2025-02-01,St Pauli,Augsburg,1,1,0.85,0.19
2025-02-01,Stuttgart,M'gladbach,1,2,0.95,1.97
2025-02-01,Bayern Munich,Holstein Kiel,4,3,4.93,2.06
2025-02-01,Heidenheim,Dortmund,1,2,0.53,2.68
2025-02-01,Union Berlin,RB Leipzig,0,0,1.75,0.24
2025-02-02,Ein Frankfurt,Wolfsburg,1,1,1.7,1.46
2025-02-02,Leverkusen,Hoffenheim,3,1,1.35,1.95
2025-02-07,Bayern Munich,Werder Bremen,3,0,4.48,0.15
2025-02-08,Dortmund,Stuttgart,1,2,1.07,0.45
2025-02-08,Hoffenheim,Union Berlin,0,4,0.88,3.87
2025-02-08,Freiburg,Heidenheim,1,0,1.33,0.43
2025-02-08,Wolfsburg,Leverkusen,0,0,0.9,1.66
2025-02-08,Mainz,Augsburg,0,0,2.0,0.26
2025-02-08,M'gladbach,Ein Frankfurt,1,1,0.66,2.55
2025-02-09,Holstein Kiel,Bochum,2,2,2.0,2.0
2025-02-09,RB Leipzig,St Pauli,2,0,1.9,0.72
2025-02-14,Augsburg,RB Leipzig,0,0,1.05,1.65
2025-02-15,Stuttgart,Wolfsburg,1,2,1.22,1.76
2025-02-15,Union Berlin,M'gladbach,1,2,1.67,2.22
2025-02-15,Bochum,Dortmund,2,0,3.37,2.71
2025-02-15,St Pauli,Freiburg,0,1,0.19,1.25
2025-02-15,Leverkusen,Bayern Munich,0,0,2.56,0.07
2025-02-16,Werder Bremen,Hoffenheim,1,3,0.86,1.92
2025-02-16,Ein Frankfurt,Holstein Kiel,3,1,3.03,1.27
